"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","        Uralic languages",,   23245,,   10715,,   12535,,   23245,,   10715,,   12535,
"Language spoken most often at home","          Estonian",,     975,,     365,,     610,,     975,,     365,,     610,
"Language spoken most often at home","          Finnish",,    2790,,    1220,,    1565,,    2790,,    1220,,    1565,
"Language spoken most often at home","          Hungarian",,   19485,,    9125,,   10355,,   19485,,    9125,,   10355,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       5,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,    1110,,     605,,     500,,    1110,,     605,,     500,
"Language spoken most often at home","  Multiple responses",, 1663390,,  802695,,  860690,, 1663390,,  802695,,  860690,
"Language spoken most often at home","    English and French",,  160185,,   77940,,   82235,,  160185,,   77940,,   82235,
"Language spoken most often at home","    English and non-official language",, 1284975,,  620375,,  664600,, 1284975,,  620375,,  664600,
"Language spoken most often at home","    French and non-official language",,  148915,,   70915,,   78000,,  148915,,   70915,,   78000,
"Language spoken most often at home","    English; French and non-official language",,   69315,,   33465,,   35850,,   69315,,   33465,,   35850,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,34767255,,17101165,,17666080,,34767255,,17101165,,17666080,
"Other language spoken regularly at home","  None",,29615245,,14612175,,15003065,,29615245,,14612175,,15003065,
"Other language spoken regularly at home","  English",, 2109340,, 1045215,, 1064120,, 2109340,, 1045215,, 1064120,
"Other language spoken regularly at home","  French",,  731095,,  342245,,  388855,,  731095,,  342245,,  388855,
"Other language spoken regularly at home","  Non-official language",, 2151690,, 1023940,, 1127750,, 2151690,, 1023940,, 1127750,
"Other language spoken regularly at home","    Aboriginal",,   90740,,   42890,,   47850,,   90740,,   42890,,   47850,
"Other language spoken regularly at home","    Non-Aboriginal",, 2060945,,  981055,, 1079895,, 2060945,,  981055,, 1079895,
"Other language spoken regularly at home","  English and French",,   47970,,   23785,,   24190,,   47970,,   23785,,   24190,
"Other language spoken regularly at home","  English and non-official language",,   61075,,   30045,,   31030,,   61075,,   30045,,   31030,
"Other language spoken regularly at home","  French and non-official language",,   48755,,   22690,,   26065,,   48755,,   22690,,   26065,
"Other language spoken regularly at home","  English; French and non-official language",,    2080,,    1075,,    1010,,    2080,,    1075,,    1010,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,28642980,,13990620,,14652355,,28642980,,13990620,,14652355,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,27488530,,13444335,,14044190,,27488530,,13444335,,14044190,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   34204,,   40782,,   28860,,   34204,,   40782,,   28860,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,27499185,,13449010,,14050175,,27499185,,13449010,,14050175,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   30866,,   35933,,   26621,,   30866,,   35933,,   26621,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,24583315,,12296595,,12286725,,24583315,,12296595,,12286725,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   32762,,   39925,,   26613,,   32762,,   39925,,   26613,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,19743240,, 8755815,,10987430,,19743240,, 8755815,,10987430,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    5453,,    4199,,    6136,,    5453,,    4199,,    6136,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,20428685,,10547760,, 9880925,,20428685,,10547760,, 9880925,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   33684,,   39836,,   28474,,   33684,,   39836,,   28474,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,28643015,,13990430,,14652585,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,27489395,,13441555,,14047845,,27489395,,13441555,,14047845,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   47487,,   56740,,   38632,,   47487,,   56740,,   38632,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,27500230,,13446230,,14053995,,27500230,,13446230,,14053995,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   38977,,   45404,,   32828,,   38977,,   45404,,   32828,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,24584065,,12295015,,12289055,,24584065,,12295015,,12289055,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   46885,,   56803,,   36962,,   46885,,   56803,,   36962,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,19742130,, 8752070,,10990060,,19742130,, 8752070,,10990060,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7738,,    7345,,    8050,,    7738,,    7345,,    8050,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,20428670,,10542540,, 9886130,,20428670,,10542540,, 9886130,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   46057,,   54369,,   37193,,   46057,,   54369,,   37193,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,28643015,,13990430,,14652585,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24, 9367045,, 5231015,, 4136035,, 9367045,, 5231015,, 4136035,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   53431,,   59326,,   47420,,   53431,,   59326,,   47420,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   65997,,   74289,,   55510,,   65997,,   74289,,   55510,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     88.3,,     91.6,,     83.7,,     88.3,,     91.6,,     83.7,
"Income of individuals in 2015","    Employment income (%)",29,     72.0,,     75.2,,     67.7,,     72.0,,     75.2,,     67.7,
"Income of individuals in 2015","  Government transfers (%)",30,     11.7,,      8.4,,     16.3,,     11.7,,      8.4,,     16.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,28642980,,13990620,,14652360,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without total income",, 1154450,,  546285,,  608165,, 1154450,,  546285,,  608165,
"Income of individuals in 2015","  With total income",,27488530,,13444335,,14044195,,27488530,,13444335,,14044195,
"Income of individuals in 2015","  Percentage with total income",,     96.0,,     96.1,,     95.8,,     96.0,,     96.1,,     95.8,
"Income of individuals in 2015","    Under $10;000 (including loss)",, 3877620,, 1668960,, 2208655,, 3877620,, 1668960,, 2208655,
"Income of individuals in 2015","    $10;000 to $19;999",, 4680380,, 1867600,, 2812785,, 4680380,, 1867600,, 2812785,
"Income of individuals in 2015","    $20;000 to $29;999",, 3807840,, 1593335,, 2214505,, 3807840,, 1593335,, 2214505,
"Income of individuals in 2015","    $30;000 to $39;999",, 3206175,, 1472670,, 1733510,, 3206175,, 1472670,, 1733510,
"Income of individuals in 2015","    $40;000 to $49;999",, 2827045,, 1376565,, 1450480,, 2827045,, 1376565,, 1450480,
"Income of individuals in 2015","    $50;000 to $59;999",, 2179775,, 1145685,, 1034090,, 2179775,, 1145685,, 1034090,
"Income of individuals in 2015","    $60;000 to $69;999",, 1655070,,  938755,,  716310,, 1655070,,  938755,,  716310,
"Income of individuals in 2015","    $70;000 to $79;999",, 1271850,,  745830,,  526015,, 1271850,,  745830,,  526015,
"Income of individuals in 2015","    $80;000 to $89;999",,  966885,,  579290,,  387590,,  966885,,  579290,,  387590,
"Income of individuals in 2015","    $90;000 to $99;999",,  749290,,  452240,,  297050,,  749290,,  452240,,  297050,
"Income of individuals in 2015","    $100;000 and over",, 2266600,, 1603400,,  663195,, 2266600,, 1603400,,  663195,
"Income of individuals in 2015","      $100;000 to $149;999",, 1493570,, 1024210,,  469365,, 1493570,, 1024210,,  469365,
"Income of individuals in 2015","      $150;000 and over",,  773025,,  579190,,  193830,,  773025,,  579190,,  193830,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,28642980,,13990620,,14652360,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without after-tax income",, 1143795,,  541620,,  602175,, 1143795,,  541620,,  602175,
"Income of individuals in 2015","  With after-tax income",,27499185,,13449010,,14050175,,27499185,,13449010,,14050175,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.0,,     96.1,,     95.9,,     96.0,,     96.1,,     95.9,
"Income of individuals in 2015","    Under $10;000 (including loss)",, 4004475,, 1706825,, 2297645,, 4004475,, 1706825,, 2297645,
"Income of individuals in 2015","    $10;000 to $19;999",, 4905055,, 1972920,, 2932130,, 4905055,, 1972920,, 2932130,
"Income of individuals in 2015","    $20;000 to $29;999",, 4489925,, 1926175,, 2563755,, 4489925,, 1926175,, 2563755,
"Income of individuals in 2015","    $30;000 to $39;999",, 3924960,, 1870705,, 2054250,, 3924960,, 1870705,, 2054250,
"Income of individuals in 2015","    $40;000 to $49;999",, 3144200,, 1619670,, 1524525,, 3144200,, 1619670,, 1524525,
"Income of individuals in 2015","    $50;000 to $59;999",, 2209280,, 1245570,,  963705,, 2209280,, 1245570,,  963705,
"Income of individuals in 2015","    $60;000 to $69;999",, 1540300,,  912230,,  628065,, 1540300,,  912230,,  628065,
"Income of individuals in 2015","    $70;000 to $79;999",, 1076180,,  654570,,  421610,, 1076180,,  654570,,  421610,
"Income of individuals in 2015","    $80;000 and over",, 2204820,, 1540335,,  664485,, 2204820,, 1540335,,  664485,
"Income of individuals in 2015","      $80;000 to $89;999",,  688705,,  444550,,  244145,,  688705,,  444550,,  244145,
"Income of individuals in 2015","      $90;000 to $99;999",,  420975,,  291090,,  129885,,  420975,,  291090,,  129885,
"Income of individuals in 2015","      $100;000 and over",, 1095140,,  804690,,  290445,, 1095140,,  804690,,  290445,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,28642980,,13990625,,14652360,,28642980,,13990625,,14652360,
"Income of individuals in 2015","  Without employment income",, 8214295,, 3442860,, 4771430,, 8214295,, 3442860,, 4771430,
"Income of individuals in 2015","  With employment income",,20428690,,10547760,, 9880925,,20428690,,10547760,, 9880925,
"Income of individuals in 2015","  Percentage with employment income",,     71.3,,     75.4,,     67.4,,     71.3,,     75.4,,     67.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",, 2778990,, 1357430,, 1421560,, 2778990,, 1357430,, 1421560,
"Income of individuals in 2015","    $5;000 to $9;999",, 1602140,,  697025,,  905120,, 1602140,,  697025,,  905120,
"Income of individuals in 2015","    $10;000 to $19;999",, 2736010,, 1212855,, 1523155,, 2736010,, 1212855,, 1523155,
"Income of individuals in 2015","    $20;000 to $29;999",, 2293785,, 1022090,, 1271695,, 2293785,, 1022090,, 1271695,
"Income of individuals in 2015","    $30;000 to $39;999",, 2149860,, 1001065,, 1148795,, 2149860,, 1001065,, 1148795,
"Income of individuals in 2015","    $40;000 to $49;999",, 1928565,,  946625,,  981940,, 1928565,,  946625,,  981940,
"Income of individuals in 2015","    $50;000 to $59;999",, 1554100,,  839045,,  715055,, 1554100,,  839045,,  715055,
"Income of individuals in 2015","    $60;000 to $69;999",, 1220310,,  708270,,  512040,, 1220310,,  708270,,  512040,
"Income of individuals in 2015","    $70;000 to $79;999",,  992170,,  591945,,  400225,,  992170,,  591945,,  400225,
"Income of individuals in 2015","    $80;000 and over",, 3172770,, 2171415,, 1001355,, 3172770,, 2171415,, 1001355,
"Income of individuals in 2015","      $80;000 to $89;999",,  773755,,  475700,,  298055,,  773755,,  475700,,  298055,
"Income of individuals in 2015","      $90;000 to $99;999",,  623980,,  382330,,  241650,,  623980,,  382330,,  241650,
"Income of individuals in 2015","      $100;000 and over",, 1775030,, 1313385,,  461645,, 1775030,, 1313385,,  461645,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,14072080,,,...,,...,14072080,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   70336,,,...,,...,   70336,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   61348,,,...,,...,   61348,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",, 3969790,,,...,,..., 3969790,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   35174,,,...,,...,   35174,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   31446,,,...,,...,   31446,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,10102290,,,...,,...,10102290,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   88249,,,...,,...,   88249,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   76419,,,...,,...,   76419,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015?for private households by household size - 25% sample?data",35,14072075,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   92764,,,...,,...,   92764,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   76171,,,...,,...,   76171,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",, 3967765,,,...,,..., 3967765,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   46799,,,...,,...,   46799,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   38685,,,...,,...,   38685,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,10104315,,,...,,...,10104315,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  110813,,,...,,...,  110813,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   90890,,,...,,...,   90890,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,14072075,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,  228790,,,...,,...,  228790,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,  200315,,,...,,...,  200315,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  374575,,,...,,...,  374575,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  565940,,,...,,...,  565940,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  602800,,,...,,...,  602800,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  538710,,,...,,...,  538710,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  603480,,,...,,...,  603480,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  606600,,,...,,...,  606600,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  596110,,,...,,...,  596110,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  578325,,,...,,...,  578325,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",, 1097345,,,...,,..., 1097345,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",, 1010415,,,...,,..., 1010415,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,  924320,,,...,,...,  924320,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  836765,,,...,,...,  836765,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  745655,,,...,,...,  745655,,,...,,...
"Income of households in 2015","  $100;000 and over",, 4561920,,,...,,..., 4561920,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",, 1470255,,,...,,..., 1470255,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",, 1016245,,,...,,..., 1016245,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",, 1116140,,,...,,..., 1116140,,,...,,...
"Income of households in 2015","    $200;000 and over",,  959285,,,...,,...,  959285,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,14072075,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,  243780,,,...,,...,  243780,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,  203865,,,...,,...,  203865,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  380680,,,...,,...,  380680,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  591660,,,...,,...,  591660,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  673740,,,...,,...,  673740,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  628225,,,...,,...,  628225,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  719825,,,...,,...,  719825,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  725675,,,...,,...,  725675,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  711180,,,...,,...,  711180,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  691695,,,...,,...,  691695,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",, 1299680,,,...,,..., 1299680,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",, 1169515,,,...,,..., 1169515,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",, 1041635,,,...,,..., 1041635,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  900055,,,...,,...,  900055,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  757295,,,...,,...,  757295,,,...,,...
"Income of households in 2015","  $100;000 and over",, 3333575,,,...,,..., 3333575,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",, 1371945,,,...,,..., 1371945,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,  809540,,,...,,...,  809540,,,...,,...
"Income of households in 2015","    $150;000 and over",, 1152090,,,...,,..., 1152090,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37, 9688845,,,...,,..., 9688845,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   88306,,,...,,...,   88306,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   76372,,,...,,...,   76372,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.0,,,...,,...,      3.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",, 3706220,,,...,,..., 3706220,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   78976,,,...,,...,   78976,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   68309,,,...,,...,   68309,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",, 4222140,,,...,,..., 4222140,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  113465,,,...,,...,  113465,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   96608,,,...,,...,   96608,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",, 1481410,,,...,,..., 1481410,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   53193,,,...,,...,   53193,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   48856,,,...,,...,   48856,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38, 9689855,,,...,,..., 9689855,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  111235,,,...,,...,  111235,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   91040,,,...,,...,   91040,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",, 3706400,,,...,,..., 3706400,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  101086,,,...,,...,  101086,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   82296,,,...,,...,   82296,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",, 4225855,,,...,,..., 4225855,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  137094,,,...,,...,  137094,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  111307,,,...,,...,  111307,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",, 1477190,,,...,,..., 1477190,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   65549,,,...,,...,   65549,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   56687,,,...,,...,   56687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21, 5313545,, 2608845,, 2704705,, 5313545,, 2608845,, 2704705,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   31890,,   34483,,   29801,,   31890,,   34483,,   29801,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   28959,,   30746,,   27495,,   28959,,   30746,,   27495,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40, 5299050,, 2596985,, 2702070,, 5299050,, 2596985,, 2702070,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   42939,,   46085,,   39915,,   42939,,   46085,,   39915,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   35801,,   37724,,   33952,,   35801,,   37724,,   33952,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,34460065,,16971550,,17488515,,34460065,,16971550,,17488515,
"Income of economic families in 2015","  In the bottom half of the distribution",,17229835,, 8256970,, 8972865,,17229835,, 8256970,, 8972865,
"Income of economic families in 2015","    In the bottom decile",, 3445950,, 1672900,, 1773050,, 3445950,, 1672900,, 1773050,
"Income of economic families in 2015","    In the second decile",, 3445660,, 1564965,, 1880700,, 3445660,, 1564965,, 1880700,
"Income of economic families in 2015","    In the third decile",, 3446165,, 1641930,, 1804235,, 3446165,, 1641930,, 1804235,
"Income of economic families in 2015","    In the fourth decile",, 3445850,, 1677120,, 1768730,, 3445850,, 1677120,, 1768730,
"Income of economic families in 2015","    In the fifth decile",, 3446210,, 1700060,, 1746150,, 3446210,, 1700060,, 1746150,
"Income of economic families in 2015","  In the top half of the distribution",,17230230,, 8714580,, 8515650,,17230230,, 8714580,, 8515650,
"Income of economic families in 2015","    In the sixth decile",, 3445695,, 1716510,, 1729185,, 3445695,, 1716510,, 1729185,
"Income of economic families in 2015","    In the seventh decile",, 3446470,, 1730975,, 1715500,, 3446470,, 1730975,, 1715500,
"Income of economic families in 2015","    In the eighth decile",, 3445940,, 1741640,, 1704300,, 3445940,, 1741640,, 1704300,
"Income of economic families in 2015","    In the ninth decile",, 3446045,, 1751850,, 1694195,, 3446045,, 1751850,, 1694195,
"Income of economic families in 2015","    In the top decile",, 3446080,, 1773600,, 1672475,, 3446080,, 1773600,, 1672475,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,33968295,,16724265,,17244035,,33968295,,16724265,,17244035,
"Low income in 2015","  0 to 17 years",, 6836380,, 3504250,, 3332125,, 6836380,, 3504250,, 3332125,
"Low income in 2015","    0 to 5 years",, 2228770,, 1142505,, 1086270,, 2228770,, 1142505,, 1086270,
"Low income in 2015","  18 to 64 years",,21695090,,10690090,,11005005,,21695090,,10690090,,11005005,
"Low income in 2015","  65 years and over",, 5436830,, 2529930,, 2906905,, 5436830,, 2529930,, 2906905,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",, 4809940,, 2243200,, 2566740,, 4809940,, 2243200,, 2566740,
"Low income in 2015","  0 to 17 years",, 1163830,,  597570,,  566255,, 1163830,,  597570,,  566255,
"Low income in 2015","    0 to 5 years",,  396095,,  203055,,  193030,,  396095,,  203055,,  193030,
"Low income in 2015","  18 to 64 years",, 2855290,, 1341590,, 1513700,, 2855290,, 1341590,, 1513700,
"Low income in 2015","  65 years and over",,  790825,,  304040,,  486780,,  790825,,  304040,,  486780,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     14.2,,     13.4,,     14.9,,     14.2,,     13.4,,     14.9,
"Low income in 2015","  0 to 17 years (%)",,     17.0,,     17.1,,     17.0,,     17.0,,     17.1,,     17.0,
"Low income in 2015","    0 to 5 years (%)",,     17.8,,     17.8,,     17.8,,     17.8,,     17.8,,     17.8,
"Low income in 2015","  18 to 64 years (%)",,     13.2,,     12.5,,     13.8,,     13.2,,     12.5,,     13.8,
"Low income in 2015","  65 years and over (%)",,     14.5,,     12.0,,     16.7,,     14.5,,     12.0,,     16.7,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",, 3128995,, 1519370,, 1609630,, 3128995,, 1519370,, 1609630,
"Low income in 2015","  0 to 17 years",,  696025,,  357255,,  338770,,  696025,,  357255,,  338770,
"Low income in 2015","    0 to 5 years",,  236435,,  121170,,  115260,,  236435,,  121170,,  115260,
"Low income in 2015","  18 to 64 years",, 2157745,, 1057585,, 1100160,, 2157745,, 1057585,, 1100160,
"Low income in 2015","  65 years and over",,  275225,,  104525,,  170695,,  275225,,  104525,,  170695,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      9.2,,      9.1,,      9.3,,      9.2,,      9.1,,      9.3,
"Low income in 2015","  0 to 17 years (%)",,     10.2,,     10.2,,     10.2,,     10.2,,     10.2,,     10.2,
"Low income in 2015","    0 to 5 years (%)",,     10.6,,     10.6,,     10.6,,     10.6,,     10.6,,     10.6,
"Low income in 2015","  18 to 64 years (%)",,      9.9,,      9.9,,     10.0,,      9.9,,      9.9,,     10.0,
"Low income in 2015","  65 years and over (%)",,      5.1,,      4.1,,      5.9,,      5.1,,      4.1,,      5.9,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,34460065,,16971575,,17488485,,34460065,,16971575,,17488485,
"Knowledge of languages","  Official languages",,33818210,,16709290,,17108920,,33818210,,16709290,,17108920,
"Knowledge of languages","    English",,29748265,,14806270,,14941995,,29748265,,14806270,,14941995,
"Knowledge of languages","    French",,10242945,, 4952455,, 5290495,,10242945,, 4952455,, 5290495,
"Knowledge of languages","  Non-official languages",, 9369280,, 4488185,, 4881090,, 9369280,, 4488185,, 4881090,
"Knowledge of languages","    Aboriginal languages",,  263845,,  127550,,  136295,,  263845,,  127550,,  136295,
"Knowledge of languages","      Algonquian languages",,  177570,,   85505,,   92065,,  177570,,   85505,,   92065,
"Knowledge of languages","        Blackfoot",,    5645,,    2695,,    2950,,    5645,,    2695,,    2950,
"Knowledge of languages","        Cree-Montagnais languages",,  116585,,   56515,,   60070,,  116585,,   56515,,   60070,
